  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0 22 825  ??        37:11.54 /sbin/launchd
    0   511     1   0 22 825  ??        11:25.95 /usr/libexec/logd
    0   512     1   0 22 825  ??         0:00.93 /usr/libexec/smd
    0   513     1   0 22 825  ??         1:12.67 /usr/libexec/UserEventAgent (System)
    0   515     1   0 22 825  ??        12:12.17 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   516     1   0 22 825  ??         0:50.66 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   519     1   0 22 825  ??         0:30.45 /usr/sbin/systemstats --daemon
  278   521     1   0 22 825  ??         0:18.68 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
    0   522     1   0 22 825  ??         7:00.72 /usr/libexec/configd
    0   523     1   0 22 825  ??         0:00.03 endpointsecurityd
    0   524     1   0 22 825  ??         4:34.52 /System/Library/CoreServices/powerd.bundle/powerd
    0   525     1   0 22 825  ??         0:00.03 /usr/libexec/IOMFB_bics_daemon
    0   527     1   0 22 825  ??         0:31.51 /usr/libexec/amfid
    0   531     1   0 22 825  ??         0:01.89 /usr/libexec/keybagd -t 15
  200   532     1   0 22 825  ??         0:05.93 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  306   533     1   0 22 825  ??         0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
    0   535     1   0 22 825  ??         0:07.53 /usr/libexec/watchdogd
    0   539     1   0 22 825  ??        23:03.72 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  240   540     1   0 22 825  ??         0:00.93 /System/Library/CoreServices/iconservicesd
    0   541     1   0 22 825  ??         0:01.02 /usr/libexec/kernelmanagerd
    0   542     1   0 22 825  ??         0:10.19 /usr/libexec/diskarbitrationd
    0   545     1   0 22 825  ??         0:38.62 /usr/libexec/coreduetd
    0   546     1   0 22 825  ??         0:45.02 /usr/sbin/syslogd
    0   549     1   0 22 825  ??         0:41.49 /usr/libexec/thermalmonitord
    0   550     1   0 22 825  ??        11:09.36 /usr/libexec/opendirectoryd
    0   552     1   0 22 825  ??         7:42.94 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   553     1   0 22 825  ??         2:20.38 /System/Library/CoreServices/launchservicesd
  266   554     1   0 22 825  ??         0:26.50 /usr/libexec/timed
  213   555     1   0 22 825  ??         0:25.22 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   556     1   0 22 825  ??         0:51.76 /usr/sbin/securityd -i
    0   559     1   0 22 825  ??         0:10.86 /usr/libexec/nesessionmanager
    0   561     1   0 22 825  ??         0:00.03 autofsd
    0   562     1   0 22 825  ??        16:33.44 /usr/libexec/dasd
  241   564     1   0 22 825  ??         1:11.77 /usr/sbin/distnoted daemon
    0   565     1   0 22 825  ??         0:00.27 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
    0   567     1   0 22 825  ??         0:02.09 /usr/libexec/dirhelper
    0   568     1   0 22 825  ??         0:00.42 /System/Library/CoreServices/logind
    0   569     1   0 22 825  ??         0:00.53 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   570     1   0 22 825  ??         0:00.02 /usr/sbin/KernelEventAgent
    0   571     1   0 22 825  ??         0:01.19 /usr/libexec/usermanagerd -t 15
    0   574     1   0 22 825  ??         3:15.58 /usr/sbin/notifyd
    0   575     1   0 22 825  ??         0:17.41 /usr/libexec/sandboxd
    0   576     1   0 22 825  ??         7:06.76 /usr/libexec/corebrightnessd --launchd
    0   577     1   0 22 825  ??         0:45.54 /usr/libexec/AirPlayXPCHelper
    0   578     1   0 22 825  ??         0:09.04 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
    0   579     1   0 22 825  ??         0:00.99 aslmanager
    0   580     1   0 22 825  ??         0:09.62 /usr/libexec/logd_helper
    0   581     1   0 22 825  ??         0:35.59 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
    0   582     1   0 22 825  ??         3:40.32 /usr/sbin/cfprefsd daemon
  501   583     1   0 22 825  ??         4:02.66 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    0   585     1   0 22 825  ??        27:27.18 /usr/libexec/runningboardd
    0   586     1   0 22 825  ??         4:19.93 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   587     1   0 22 825  ??         0:05.35 /System/Library/CoreServices/coreservicesd
    0   588     1   0 22 825  ??         2:39.54 /usr/libexec/lsd runAsRoot
    0   589     1   0 22 825  ??         0:00.14 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
    0   590     1   0 22 825  ??        78:41.19 /usr/libexec/airportd
   88   591     1   0 22 825  ??       311:12.56 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  282   592     1   0 22 825  ??         5:15.54 /usr/libexec/trustd
  202   593     1   0 22 825  ??        85:09.73 /usr/sbin/coreaudiod
    0   594     1   0 22 825  ??         0:00.13 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
    0   595     1   0 22 825  ??         1:24.42 /usr/libexec/apfsd
  242   596     1   0 22 825  ??         0:51.00 /usr/libexec/nsurlsessiond --privileged
    0   597     1   0 22 825  ??         0:35.58 /usr/libexec/nehelper
    0   598     1   0 22 825  ??         0:00.10 /usr/libexec/usbd
  263   599     1   0 22 825  ??         1:40.85 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
    0   600     1   0 22 825  ??         0:04.24 /usr/libexec/biometrickitd --launchd
    0   603     1   0 22 825  ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
    0   605     1   0 22 825  ??         0:00.06 /usr/libexec/trustdFileHelper
    0   607     1   0 22 825  ??         0:11.65 /usr/libexec/powerexperienced
    0   609     1   0 22 825  ??         0:05.81 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
    0   610     1   0 22 825  ??         0:02.92 /usr/libexec/PowerUIAgent
    0   611     1   0 22 825  ??         0:00.02 /usr/libexec/cryptexd
    0   612     1   0 22 825  ??         0:10.19 /usr/sbin/distnoted agent
    0   613     1   0 22 825  ??        14:18.58 /usr/libexec/mobileassetd
    0   614     1   0 22 825  ??         0:22.92 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
    0   616     1   0 22 825  ??         0:32.78 /usr/libexec/eligibilityd
  202   617     1   0 22 825  ??         0:08.08 /usr/sbin/distnoted agent
  261   619     1   0 22 825  ??         0:00.05 /usr/libexec/hidd
    0   623     1   0 22 825  ??         0:00.30 /usr/libexec/secinitd
   88   624     1   0 22 825  ??         0:07.84 /usr/sbin/distnoted agent
  202   627     1   0 22 825  ??         0:00.01 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    0   629     1   0 22 825  ??         0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
    0   632     1   0 22 825  ??         6:29.69 /usr/libexec/syspolicyd
   65   634     1   0 22 825  ??         6:51.82 /usr/sbin/mDNSResponder
    0   635     1   0 22 825  ??         0:17.61 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  202   636     1   0 22 825  ??         0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  289   637     1   0 22 825  ??         0:17.40 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
    0   638     1   0 22 825  ??         2:39.40 /usr/libexec/audioclocksyncd
    0   639     1   0 22 825  ??         0:09.55 /usr/sbin/mDNSResponderHelper
   24   640     1   0 22 825  ??         4:09.68 /usr/libexec/symptomsd
    0   641     1   0 22 825  ??         0:05.82 /usr/libexec/storagekitd
    0   642     1   0 22 825  ??        13:38.62 /usr/libexec/TouchBarServer
    0   644     1   0 22 825  ??         0:00.05 /usr/libexec/ApplicationFirewall/socketfilterfw
    0   645     1   0 22 825  ??         0:00.06 /usr/libexec/colorsync.displayservices
    0   646     1   0 22 825  ??         0:00.02 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
    0   647     1   0 22 825  ??         0:00.08 /usr/libexec/colorsyncd
    0   648     1   0 22 825  ??         0:01.83 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  262   651     1   0 22 825  ??         0:07.51 /usr/sbin/distnoted agent
    0   652     1   0 22 825  ??         0:00.08 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  202   653     1   0 22 825  ??         0:00.03 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  301   656     1   0 22 825  ??         0:03.80 /usr/libexec/modelmanagerd
    0   657     1   0 22 825  ??         0:09.89 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  296   658     1   0 22 825  ??         0:00.32 /usr/libexec/aneuserd
    0   659     1   0 22 825  ??         0:13.94 /usr/libexec/aned
  262   660     1   0 22 825  ??         0:15.89 /usr/sbin/appleh13camerad
  262   661     1   0 22 825  ??         0:00.19 /usr/libexec/cameracaptured
  262   662     1   0 22 825  ??         0:00.49 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
    0   668     1   0 22 825  ??         0:00.03 /usr/libexec/tzlinkd
    0   669     1   0 22 825  ??         0:06.57 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
  200   672     1   0 22 825  ??         1:42.81 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
    0   673     1   0 22 825  ??         0:00.85 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
    0   674     1   0 22 825  ??         0:02.72 /System/Library/CoreServices/osanalyticshelper server-init
    0   675     1   0 22 825  ??         0:00.07 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
    0   679     1   0 22 825  ??         0:00.62 /usr/libexec/symptomsd-diag
    0   680     1   0 22 825  ??         0:16.37 /usr/libexec/rtcreportingd
  270   682     1   0 22 825  ??        35:18.24 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000b86 com.apple.DriverKit-AppleBCMWLAN
  200   683     1   0 22 825  ??         0:07.64 /usr/sbin/distnoted agent
  270   684     1   0 22 825  ??         0:00.80 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000cd0 com.apple.DriverKit-IOUserDockChannelSerial
  270   685     1   0 22 825  ??         0:55.77 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000cd1 com.apple.AppleUserHIDDrivers
    0   690     1   0 22 825  ??         0:20.34 /usr/libexec/securityd_system
    0   692     1   0 22 825  ??         1:41.02 /System/Library/CoreServices/TimeMachine/backupd
    0   694     1   0 22 825  ??         1:02.68 /usr/sbin/WirelessRadioManagerd
    0   695     1   0 22 825  ??        10:58.29 /usr/libexec/findmybeaconingd
    0   698     1   0 22 825  ??         0:06.66 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
    0   699     1   0 22 825  ??         0:03.47 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  262   702     1   0 22 825  ??         0:11.66 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  262   703     1   0 22 825  ??         0:00.16 /usr/libexec/secinitd
  262   704     1   0 22 825  ??         0:00.14 /usr/sbin/cfprefsd agent
  262   705     1   0 22 825  ??         0:02.90 /usr/libexec/trustd --agent
    0   707     1   0 22 825  ??         0:00.05 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  262   708     1   0 22 825  ??         0:00.10 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
    0   711     1   0 22 825  ??         3:13.08 /usr/libexec/wifip2pd
    0   712     1   0 22 825  ??         0:00.03 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
    0   714     1   0 22 825  ??         0:12.67 /usr/sbin/BTLEServer
    0   715     1   0 22 825  ??        10:36.75 /usr/libexec/searchpartyd
    0   719     1   0 22 825  ??         0:26.97 /usr/libexec/wifianalyticsd
    0   720     1   0 22 825  ??         0:14.14 /usr/libexec/countryd
    0   721     1   0 22 825  ??         0:00.93 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
    0   722     1   0 22 825  ??         6:56.44 /usr/libexec/sysmond
  278   723     1   0 22 825  ??         0:07.32 /usr/sbin/distnoted agent
